Date,Farmer,Location,Gross Weight (Tons),Yield (%)
2024-05-01,Ava Field,Farm P - Paddock 4,24,5.8
2024-05-01,Noah River,Farm Q - Paddock 2,13,3.5
2024-05-02,Liam Orchard,Farm R - Paddock 1,17,7.2
2024-05-02,Emma Hill,Farm S - Paddock 3,21,4.7
2024-05-03,Olivia Grove,Farm P - Paddock 5,20,6.1
2024-05-03,William Lake,Farm Q - Paddock 4,22,5.4
2024-05-04,Sophia Field,Farm R - Paddock 2,18,2.9
2024-05-04,Mason Forest,Farm S - Paddock 1,20,8.0
2024-05-05,Isabella Meadow,Farm P - Paddock 3,23,7.5
2024-05-05,Ethan River,Farm Q - Paddock 5,19,4.3
2024-05-06,James Orchard,Farm R - Paddock 4,15,5.6
2024-05-06,Charlotte Hill,Farm S - Paddock 2,17,6.7
2024-05-07,Amelia Grove,Farm P - Paddock 1,21,8.5
2024-05-07,Evelyn Lake,Farm Q - Paddock 3,16,3.6
2024-05-08,Oliver Field,Farm R - Paddock 5,18,7.8
2024-05-08,Mia Forest,Farm S - Paddock 4,22,9.3
2024-05-09,Lucas Meadow,Farm P - Paddock 2,24,5.2
2024-05-09,Aria River,Farm Q - Paddock 1,14,3.4
2024-05-10,Logan Orchard,Farm R - Paddock 3,13,4.5
2024-05-10,Ella Hill,Farm S - Paddock 5,19,5.1
2024-05-11,Benjamin Grove,Farm P - Paddock 4,20,7.0
2024-05-11,Hannah Lake,Farm Q - Paddock 2,19,6.2
2024-05-12,Harper Field,Farm R - Paddock 1,15,3.7
2024-05-12,Elijah Forest,Farm S - Paddock 3,16,2.5
2024-05-13,Ethan Meadow,Farm P - Paddock 5,22,8.1
2024-05-13,Sophia River,Farm Q - Paddock 4,21,5.9
2024-05-14,Michael Orchard,Farm R - Paddock 2,23,5.0
2024-05-14,Alexander Hill,Farm S - Paddock 1,20,7.2
2024-05-15,Zoe Grove,Farm P - Paddock 3,18,9.6
2024-05-15,Daniel Lake,Farm Q - Paddock 5,17,4.8
2024-05-16,Grace Field,Farm R - Paddock 4,19,6.0
2024-05-16,Jack Forest,Farm S - Paddock 2,20,5.7
2024-05-17,Chloe Meadow,Farm P - Paddock 1,16,4.1
2024-05-17,Matthew River,Farm Q - Paddock 3,15,3.9
2024-05-18,Olivia Orchard,Farm R - Paddock 5,14,8.4
2024-05-18,Emma Hill,Farm S - Paddock 4,24,8.7
2024-05-19,Liam Grove,Farm P - Paddock 2,22,6.3
2024-05-19,Noah Lake,Farm Q - Paddock 1,13,4.4
2024-05-20,William Field,Farm R - Paddock 3,25,9.5
2024-05-20,Sophia Forest,Farm S - Paddock 5,19,6.6
2024-05-21,Mason Meadow,Farm P - Paddock 4,21,5.2
2024-05-21,Isabella River,Farm Q - Paddock 2,20,8.1
2024-05-22,Ethan Orchard,Farm R - Paddock 1,18,3.8
2024-05-22,James Hill,Farm S - Paddock 3,22,7.4
2024-05-23,Charlotte Grove,Farm P - Paddock 5,23,8.9
2024-05-23,Amelia Lake,Farm Q - Paddock 4,15,5.3
2024-05-24,Evelyn Field,Farm R - Paddock 2,17,2.8
2024-05-24,Oliver Forest,Farm S - Paddock 1,21,7.6
2024-05-25,Lucas Meadow,Farm P - Paddock 3,24,9.2
2024-05-25,Aria River,Farm Q - Paddock 5,16,4.0
